Material,Month,Stock On Hand,Val.stk(I),Tot. usage,Unit
18932,1.2013,0,PC,0,PC
18932,2.2013,0,PC,0,PC
18932,3.2013,0,PC,0,PC
18932,4.2013,0,PC,0,PC
18932,5.2013,0,PC,0,PC
18932,6.2013,0,PC,0,PC
18932,7.2013,0,PC,0,PC
18932,8.2013,0,PC,0,PC
18932,9.2013,0,PC,0,PC
18932,10.2013,0,PC,0,PC
18932,11.2013,0,PC,0,PC
18932,12.2013,0,PC,0,PC
18932,1.2014,0,PC,0,PC
18932,2.2014,0,PC,0,PC
18932,3.2014,0,PC,0,PC
18932,4.2014,0,PC,0,PC
18932,5.2014,0,PC,0,PC
18932,6.2014,0,PC,0,PC
18932,7.2014,0,PC,0,PC
18932,8.2014,0,PC,0,PC
18932,9.2014,0,PC,0,PC
18932,10.2014,0,PC,0,PC
18932,11.2014,0,PC,0,PC
18932,12.2014,0,PC,0,PC
18932,1.2015,0,PC,0,PC
18932,2.2015,0,PC,0,PC
18932,3.2015,0,PC,0,PC
18932,4.2015,0,PC,0,PC
18932,5.2015,0,PC,0,PC
18932,6.2015,0,PC,0,PC
18932,7.2015,0,PC,0,PC
18932,8.2015,0,PC,0,PC
18932,9.2015,0,PC,0,PC
18932,10.2015,0,PC,0,PC
18932,11.2015,0,PC,0,PC
18932,12.2015,0,PC,0,PC
18932,1.2016,0,PC,0,PC
18932,2.2016,0,PC,0,PC
18932,3.2016,0,PC,0,PC
18932,4.2016,0,PC,0,PC
18932,5.2016,0,PC,0,PC
18932,6.2016,0,PC,0,PC
18932,7.2016,0,PC,0,PC
18932,8.2016,0,PC,0,PC
18932,9.2016,0,PC,0,PC
18932,10.2016,0,PC,0,PC
18932,11.2016,0,PC,0,PC
18932,12.2016,0,PC,0,PC
18932,1.2017,0,PC,0,PC
18932,2.2017,0,PC,0,PC
18932,3.2017,0,PC,0,PC
18932,4.2017,0,PC,0,PC
18932,5.2017,0,PC,0,PC
18932,6.2017,0,PC,0,PC
18932,7.2017,0,PC,0,PC
18932,8.2017,0,PC,0,PC
18932,9.2017,0,PC,0,PC
18932,10.2017,0,PC,0,PC
18932,11.2017,0,PC,0,PC
18932,12.2017,0,PC,0,PC
18932,1.2018,0,PC,0,PC
18932,2.2018,0,PC,0,PC
18932,3.2018,0,PC,0,PC
18932,4.2018,0,PC,0,PC
18932,5.2018,0,PC,0,PC
18932,6.2018,6,PC,0,PC
18932,7.2018,53,PC,0,PC
18932,8.2018,80,PC,0,PC
18932,9.2018,678,PC,366,PC
18932,10.2018,"1,187.00",PC,568,PC
18932,11.2018,733,PC,593,PC
18932,12.2018,"1,312.00",PC,693,PC
18932,1.2019,"1,571.00",PC,949,PC
18932,2.2019,258,PC,173,PC
18932,3.2019,420,PC,403,PC
18932,4.2019,447,PC,426,PC
18932,5.2019,705,PC,576,PC
18932,6.2019,688,PC,566,PC
18932,7.2019,724,PC,651,PC
18932,8.2019,751,PC,655,PC
18932,9.2019,820,PC,599,PC
18932,10.2019,772,PC,570,PC
18932,11.2019,"1,142.00",PC,708,PC
18932,12.2019,"1,348.00",PC,911,PC
18932,1.202,"1,109.00",PC,659,PC
18932,2.202,688,PC,212,PC
18932,3.202,471,PC,361,PC
18932,4.202,774,PC,498,PC
18932,5.202,655,PC,586,PC
18932,6.202,671,PC,556,PC
18932,7.202,742,PC,634,PC
18932,8.202,777,PC,620,PC
18932,9.202,859,PC,683,PC
18932,10.202,811,PC,687,PC
18932,11.202,850,PC,750,PC
18932,12.202,"1,750.00",PC,"1,023",PC
18932,1.2021,"2,079.00",PC,"1,147",PC
18932,2.2021,709,PC,548,PC
18932,3.2021,609,PC,586,PC
18932,4.2021,666,PC,638,PC
18932,5.2021,934,PC,725,PC
18932,6.2021,"1,609.00",PC,810,PC
18932,7.2021,964,PC,854,PC
18932,8.2021,946,PC,764,PC
18932,9.2021,"1,130.00",PC,762,PC
18932,10.2021,971,PC,799,PC
18932,11.2021,"1,345.00",PC,899,PC
18932,12.2021,"1,240.00",PC,796,PC
18932,1.2022,961,PC,727,PC
18932,2.2022,348,PC,312,PC
18932,3.2022,615,PC,297,PC
18932,4.2022,705,PC,655,PC
18932,5.2022,905,PC,706,PC
18932,6.2022,868,PC,709,PC
18932,7.2022,998,PC,687,PC
18932,8.2022,837,PC,686,PC
18932,9.2022,987,PC,732,PC
18932,10.2022,"1,005.00",PC,708,PC
18932,11.2022,"1,106.00",PC,812,PC
18932,12.2022,"1,389.00",PC,947,PC
18932,1.2023,"1,167.00",PC,711,PC
18932,2.2023,367,PC,314,PC
18932,3.2023,579,PC,533,PC
18932,4.2023,827,PC,577,PC
18932,5.2023,"1,282.00",PC,711,PC
18932,6.2023,"1,062.00",PC,707,PC
18932,7.2023,975,PC,729,PC
18932,8.2023,"1,204.00",PC,752,PC
18932,9.2023,"1,044.00",PC,792,PC
18932,10.2023,863,PC,701,PC
18932,11.2023,"1,023.00",PC,748,PC
18932,12.2023,"1,507.00",PC,755,PC
19329,1.2013,0,PC,0,PC
19329,2.2013,0,PC,0,PC
19329,3.2013,0,PC,0,PC
19329,4.2013,0,PC,0,PC
19329,5.2013,0,PC,0,PC
19329,6.2013,0,PC,0,PC
19329,7.2013,0,PC,0,PC
19329,8.2013,0,PC,0,PC
19329,9.2013,0,PC,0,PC
19329,10.2013,0,PC,0,PC
19329,11.2013,0,PC,0,PC
19329,12.2013,0,PC,0,PC
19329,1.2014,0,PC,0,PC
19329,2.2014,0,PC,0,PC
19329,3.2014,0,PC,0,PC
19329,4.2014,0,PC,0,PC
19329,5.2014,0,PC,0,PC
19329,6.2014,0,PC,0,PC
19329,7.2014,0,PC,0,PC
19329,8.2014,0,PC,0,PC
19329,9.2014,0,PC,0,PC
19329,10.2014,0,PC,0,PC
19329,11.2014,0,PC,0,PC
19329,12.2014,0,PC,0,PC
19329,1.2015,0,PC,0,PC
19329,2.2015,0,PC,0,PC
19329,3.2015,0,PC,0,PC
19329,4.2015,0,PC,0,PC
19329,5.2015,0,PC,0,PC
19329,6.2015,0,PC,0,PC
19329,7.2015,0,PC,0,PC
19329,8.2015,0,PC,0,PC
19329,9.2015,0,PC,0,PC
19329,10.2015,0,PC,0,PC
19329,11.2015,0,PC,0,PC
19329,12.2015,0,PC,0,PC
19329,1.2016,0,PC,0,PC
19329,2.2016,0,PC,0,PC
19329,3.2016,0,PC,0,PC
19329,4.2016,0,PC,0,PC
19329,5.2016,0,PC,0,PC
19329,6.2016,0,PC,0,PC
19329,7.2016,0,PC,0,PC
19329,8.2016,0,PC,0,PC
19329,9.2016,0,PC,0,PC
19329,10.2016,0,PC,0,PC
19329,11.2016,0,PC,0,PC
19329,12.2016,0,PC,0,PC
19329,1.2017,0,PC,0,PC
19329,2.2017,0,PC,0,PC
19329,3.2017,0,PC,0,PC
19329,4.2017,0,PC,0,PC
19329,5.2017,6,PC,0,PC
19329,6.2017,"1,214.00",PC,425,PC
19329,7.2017,"1,456.00",PC,532,PC
19329,8.2017,"1,078.00",PC,597,PC
19329,9.2017,"1,080.00",PC,692,PC
19329,10.2017,"1,190.00",PC,519,PC
19329,11.2017,623,PC,580,PC
19329,12.2017,"1,166.00",PC,642,PC
19329,1.2018,893,PC,730,PC
19329,2.2018,567,PC,372,PC
19329,3.2018,438,PC,317,PC
19329,4.2018,887,PC,455,PC
19329,5.2018,"1,147.00",PC,777,PC
19329,6.2018,"1,638.00",PC,903,PC
19329,7.2018,"1,450.00",PC,911,PC
19329,8.2018,"1,257.00",PC,850,PC
19329,9.2018,941,PC,768,PC
19329,10.2018,988,PC,750,PC
19329,11.2018,"1,042.00",PC,662,PC
19329,12.2018,901,PC,679,PC
19329,1.2019,"1,540.00",PC,"1,002",PC
19329,2.2019,398,PC,299,PC
19329,3.2019,968,PC,623,PC
19329,4.2019,"1,749.00",PC,966,PC
19329,5.2019,"1,676.00",PC,"1,114",PC
19329,6.2019,"1,387.00",PC,"1,049",PC
19329,7.2019,"1,086.00",PC,855,PC
19329,8.2019,880,PC,674,PC
19329,9.2019,666,PC,631,PC
19329,10.2019,767,PC,711,PC
19329,11.2019,"1,277.00",PC,891,PC
19329,12.2019,"1,818.00",PC,878,PC
19329,1.202,"1,430.00",PC,672,PC
19329,2.202,349,PC,249,PC
19329,3.202,825,PC,396,PC
19329,4.202,823,PC,583,PC
19329,5.202,855,PC,559,PC
19329,6.202,883,PC,527,PC
19329,7.202,"1,001.00",PC,573,PC
19329,8.202,782,PC,573,PC
19329,9.202,"1,004.00",PC,649,PC
19329,10.202,937,PC,625,PC
19329,11.202,"1,068.00",PC,726,PC
19329,12.202,"1,656.00",PC,813,PC
19329,1.2021,"1,690.00",PC,"1,044",PC
19329,2.2021,722,PC,501,PC
19329,3.2021,817,PC,549,PC
19329,4.2021,"1,197.00",PC,637,PC
19329,5.2021,"1,148.00",PC,733,PC
19329,6.2021,917,PC,752,PC
19329,7.2021,"1,001.00",PC,708,PC
19329,8.2021,935,PC,690,PC
19329,9.2021,783,PC,611,PC
19329,10.2021,939,PC,772,PC
19329,11.2021,767,PC,730,PC
19329,12.2021,899,PC,796,PC
19329,1.2022,"1,436.00",PC,"1,034",PC
19329,2.2022,269,PC,246,PC
19329,3.2022,643,PC,406,PC
19329,4.2022,"1,334.00",PC,880,PC
19329,5.2022,"1,513.00",PC,955,PC
19329,6.2022,"1,207.00",PC,809,PC
19329,7.2022,922,PC,797,PC
19329,8.2022,992,PC,920,PC
19329,9.2022,"1,009.00",PC,871,PC
19329,10.2022,"1,723.00",PC,907,PC
19329,11.2022,"1,263.00",PC,"1,115",PC
19329,12.2022,"1,726.00",PC,"1,047",PC
19329,1.2023,"1,010.00",PC,712,PC
19329,2.2023,797,PC,320,PC
19329,3.2023,743,PC,452,PC
19329,4.2023,675,PC,561,PC
19329,5.2023,"1,143.00",PC,722,PC
19329,6.2023,981,PC,680,PC
19329,7.2023,817,PC,700,PC
19329,8.2023,"1,083.00",PC,702,PC
19329,9.2023,860,PC,596,PC
19329,10.2023,787,PC,584,PC
19329,11.2023,688,PC,640,PC
19329,12.2023,"1,264.00",PC,687,PC
32843,1.2013,0,PC,0,PC
32843,2.2013,0,PC,0,PC
32843,3.2013,0,PC,0,PC
32843,4.2013,0,PC,0,PC
32843,5.2013,0,PC,0,PC
32843,6.2013,0,PC,0,PC
32843,7.2013,0,PC,0,PC
32843,8.2013,0,PC,0,PC
32843,9.2013,0,PC,0,PC
32843,10.2013,0,PC,0,PC
32843,11.2013,0,PC,0,PC
32843,12.2013,0,PC,0,PC
32843,1.2014,0,PC,0,PC
32843,2.2014,0,PC,0,PC
32843,3.2014,0,PC,0,PC
32843,4.2014,0,PC,0,PC
32843,5.2014,0,PC,0,PC
32843,6.2014,0,PC,0,PC
32843,7.2014,0,PC,0,PC
32843,8.2014,0,PC,0,PC
32843,9.2014,0,PC,0,PC
32843,10.2014,0,PC,0,PC
32843,11.2014,0,PC,0,PC
32843,12.2014,0,PC,0,PC
32843,1.2015,0,PC,0,PC
32843,2.2015,0,PC,0,PC
32843,3.2015,0,PC,0,PC
32843,4.2015,0,PC,0,PC
32843,5.2015,0,PC,0,PC
32843,6.2015,0,PC,0,PC
32843,7.2015,0,PC,0,PC
32843,8.2015,0,PC,0,PC
32843,9.2015,0,PC,0,PC
32843,10.2015,0,PC,0,PC
32843,11.2015,0,PC,0,PC
32843,12.2015,0,PC,0,PC
32843,1.2016,0,PC,0,PC
32843,2.2016,0,PC,0,PC
32843,3.2016,0,PC,0,PC
32843,4.2016,0,PC,0,PC
32843,5.2016,0,PC,0,PC
32843,6.2016,0,PC,0,PC
32843,7.2016,0,PC,0,PC
32843,8.2016,0,PC,0,PC
32843,9.2016,0,PC,0,PC
32843,10.2016,0,PC,0,PC
32843,11.2016,0,PC,0,PC
32843,12.2016,0,PC,0,PC
32843,1.2017,0,PC,0,PC
32843,2.2017,0,PC,0,PC
32843,3.2017,0,PC,0,PC
32843,4.2017,0,PC,0,PC
32843,5.2017,0,PC,0,PC
32843,6.2017,0,PC,0,PC
32843,7.2017,0,PC,0,PC
32843,8.2017,0,PC,0,PC
32843,9.2017,0,PC,0,PC
32843,10.2017,0,PC,0,PC
32843,11.2017,0,PC,0,PC
32843,12.2017,0,PC,0,PC
32843,1.2018,0,PC,0,PC
32843,2.2018,0,PC,0,PC
32843,3.2018,0,PC,0,PC
32843,4.2018,0,PC,0,PC
32843,5.2018,0,PC,0,PC
32843,6.2018,0,PC,0,PC
32843,7.2018,0,PC,0,PC
32843,8.2018,284,PC,0,PC
32843,9.2018,237,PC,17,PC
32843,10.2018,"1,049.00",PC,724,PC
32843,11.2018,"1,434.00",PC,851,PC
32843,12.2018,"1,014.00",PC,790,PC
32843,1.2019,"1,656.00",PC,957,PC
32843,2.2019,"1,130.00",PC,661,PC
32843,3.2019,"1,883.00",PC,"1,100",PC
32843,4.2019,"1,748.00",PC,"1,025",PC
32843,5.2019,"1,390.00",PC,942,PC
32843,6.2019,811,PC,769,PC
32843,7.2019,872,PC,706,PC
32843,8.2019,830,PC,786,PC
32843,9.2019,"1,005.00",PC,838,PC
32843,10.2019,"1,226.00",PC,850,PC
32843,11.2019,799,PC,760,PC
32843,12.2019,"1,908.00",PC,"1,266",PC
32843,1.202,"1,465.00",PC,701,PC
32843,2.202,"1,639.00",PC,628,PC
32843,3.202,647,PC,589,PC
32843,4.202,"1,110.00",PC,651,PC
32843,5.202,990,PC,800,PC
32843,6.202,"1,572.00",PC,834,PC
32843,7.202,945,PC,761,PC
32843,8.202,994,PC,646,PC
32843,9.202,787,PC,714,PC
32843,10.202,"1,059.00",PC,799,PC
32843,11.202,"1,808.00",PC,"1,143",PC
32843,12.202,"1,635.00",PC,911,PC
32843,1.2021,"1,207.00",PC,"1,102",PC
32843,2.2021,808,PC,523,PC
32843,3.2021,907,PC,697,PC
32843,4.2021,916,PC,726,PC
32843,5.2021,"2,088.00",PC,936,PC
32843,6.2021,"1,466.00",PC,960,PC
32843,7.2021,995,PC,897,PC
32843,8.2021,"1,058.00",PC,892,PC
32843,9.2021,851,PC,819,PC
32843,10.2021,"1,595.00",PC,"1,036",PC
32843,11.2021,"1,486.00",PC,"1,096",PC
32843,12.2021,"1,427.00",PC,965,PC
32843,1.2022,"1,188.00",PC,948,PC
32843,2.2022,890,PC,849,PC
32843,3.2022,"1,424.00",PC,737,PC
32843,4.2022,"2,159.00",PC,764,PC
32843,5.2022,"1,129.00",PC,385,PC
32843,6.2022,763,PC,283,PC
32843,7.2022,"1,253.00",PC,755,PC
32843,8.2022,"1,158.00",PC,992,PC
32843,9.2022,"1,411.00",PC,"1,176",PC
32843,10.2022,"2,748.00",PC,"1,527",PC
32843,11.2022,"2,341.00",PC,"1,238",PC
32843,12.2022,"2,144.00",PC,"1,466",PC
32843,1.2023,"1,578.00",PC,"1,016",PC
32843,2.2023,"1,391.00",PC,858,PC
32843,3.2023,"1,145.00",PC,960,PC
32843,4.2023,"1,201.00",PC,869,PC
32843,5.2023,"1,053.00",PC,"1,001",PC
32843,6.2023,"1,135.00",PC,"1,094",PC
32843,7.2023,"1,766.00",PC,935,PC
32843,8.2023,"1,179.00",PC,"1,067",PC
32843,9.2023,"1,454.00",PC,"1,126",PC
32843,10.2023,"2,406.00",PC,"1,183",PC
32843,11.2023,"2,556.00",PC,"1,397",PC
32843,12.2023,"3,010.00",PC,"1,442",PC
33909,1.2013,0,PC,0,PC
33909,2.2013,0,PC,0,PC
33909,3.2013,0,PC,0,PC
33909,4.2013,0,PC,0,PC
33909,5.2013,0,PC,0,PC
33909,6.2013,0,PC,0,PC
33909,7.2013,0,PC,0,PC
33909,8.2013,0,PC,0,PC
33909,9.2013,0,PC,0,PC
33909,10.2013,0,PC,0,PC
33909,11.2013,0,PC,0,PC
33909,12.2013,0,PC,0,PC
33909,1.2014,0,PC,0,PC
33909,2.2014,0,PC,0,PC
33909,3.2014,0,PC,0,PC
33909,4.2014,0,PC,0,PC
33909,5.2014,0,PC,0,PC
33909,6.2014,0,PC,0,PC
33909,7.2014,0,PC,0,PC
33909,8.2014,0,PC,0,PC
33909,9.2014,0,PC,0,PC
33909,10.2014,0,PC,0,PC
33909,11.2014,0,PC,0,PC
33909,12.2014,0,PC,0,PC
33909,1.2015,0,PC,0,PC
33909,2.2015,0,PC,0,PC
33909,3.2015,0,PC,0,PC
33909,4.2015,0,PC,0,PC
33909,5.2015,0,PC,0,PC
33909,6.2015,15,PC,0,PC
33909,7.2015,160,PC,0,PC
33909,8.2015,854,PC,436,PC
33909,9.2015,"1,344.00",PC,428,PC
33909,10.2015,"2,333.00",PC,650,PC
33909,11.2015,"1,274.00",PC,586,PC
33909,12.2015,990,PC,574,PC
33909,1.2016,"1,277.00",PC,702,PC
33909,2.2016,"1,304.00",PC,662,PC
33909,3.2016,"1,023.00",PC,508,PC
33909,4.2016,890,PC,432,PC
33909,5.2016,"1,203.00",PC,392,PC
33909,6.2016,781,PC,387,PC
33909,7.2016,406,PC,376,PC
33909,8.2016,916,PC,635,PC
33909,9.2016,768,PC,435,PC
33909,10.2016,818,PC,554,PC
33909,11.2016,555,PC,528,PC
33909,12.2016,"1,442.00",PC,521,PC
33909,1.2017,"1,731.00",PC,608,PC
33909,2.2017,706,PC,377,PC
33909,3.2017,501,PC,480,PC
33909,4.2017,383,PC,367,PC
33909,5.2017,608,PC,475,PC
33909,6.2017,500,PC,479,PC
33909,7.2017,623,PC,454,PC
33909,8.2017,"1,125.00",PC,658,PC
33909,9.2017,991,PC,513,PC
33909,10.2017,717,PC,539,PC
33909,11.2017,470,PC,437,PC
33909,12.2017,657,PC,491,PC
33909,1.2018,521,PC,492,PC
33909,2.2018,529,PC,417,PC
33909,3.2018,618,PC,356,PC
33909,4.2018,338,PC,316,PC
33909,5.2018,495,PC,380,PC
33909,6.2018,410,PC,363,PC
33909,7.2018,562,PC,396,PC
33909,8.2018,970,PC,571,PC
33909,9.2018,"1,594.00",PC,529,PC
33909,10.2018,"1,874.00",PC,687,PC
33909,11.2018,887,PC,549,PC
33909,12.2018,630,PC,511,PC
33909,1.2019,616,PC,452,PC
33909,2.2019,286,PC,277,PC
33909,3.2019,379,PC,360,PC
33909,4.2019,343,PC,314,PC
33909,5.2019,445,PC,424,PC
33909,6.2019,520,PC,421,PC
33909,7.2019,791,PC,581,PC
33909,8.2019,926,PC,565,PC
33909,9.2019,639,PC,563,PC
33909,10.2019,"1,182.00",PC,544,PC
33909,11.2019,"1,289.00",PC,604,PC
33909,12.2019,"1,254.00",PC,525,PC
33909,1.202,457,PC,342,PC
33909,2.202,516,PC,335,PC
33909,3.202,312,PC,301,PC
33909,4.202,345,PC,263,PC
33909,5.202,301,PC,281,PC
33909,6.202,603,PC,423,PC
33909,7.202,711,PC,491,PC
33909,8.202,810,PC,407,PC
33909,9.202,523,PC,413,PC
33909,10.202,812,PC,526,PC
33909,11.202,594,PC,434,PC
33909,12.202,"1,213.00",PC,494,PC
33909,1.2021,930,PC,500,PC
33909,2.2021,631,PC,244,PC
33909,3.2021,340,PC,313,PC
33909,4.2021,544,PC,360,PC
33909,5.2021,569,PC,535,PC
33909,6.2021,"1,097.00",PC,770,PC
33909,7.2021,610,PC,482,PC
33909,8.2021,622,PC,593,PC
33909,9.2021,778,PC,614,PC
33909,10.2021,726,PC,642,PC
33909,11.2021,562,PC,540,PC
33909,12.2021,452,PC,429,PC
33909,1.2022,587,PC,408,PC
33909,2.2022,543,PC,527,PC
33909,3.2022,839,PC,315,PC
33909,4.2022,546,PC,346,PC
33909,5.2022,593,PC,345,PC
33909,6.2022,617,PC,380,PC
33909,7.2022,"1,138.00",PC,474,PC
33909,8.2022,605,PC,573,PC
33909,9.2022,828,PC,606,PC
33909,10.2022,758,PC,636,PC
33909,11.2022,869,PC,613,PC
33909,12.2022,"1,017.00",PC,646,PC
33909,1.2023,541,PC,425,PC
33909,2.2023,545,PC,336,PC
33909,3.2023,416,PC,288,PC
33909,4.2023,623,PC,321,PC
33909,5.2023,449,PC,371,PC
33909,6.2023,801,PC,418,PC
33909,7.2023,914,PC,473,PC
33909,8.2023,"1,590.00",PC,633,PC
33909,9.2023,"1,120.00",PC,488,PC
33909,10.2023,849,PC,611,PC
33909,11.2023,731,PC,408,PC
33909,12.2023,258,PC,242,PC
